;Unnamed: 0;krs_code;krs_name;krs_type;krs_name_sh;lon_centr;lat_centr;magnitude;obscuration;Clouds
84;84;['16052'];Kreisfreie Stadt Gera;Kreisfreie Stadt;Gera;12.08271969;50.89400492;0.245;14.2;100
85;85;['16055'];Kreisfreie Stadt Weimar;Kreisfreie Stadt;Weimar;11.31788659;50.97829049;0.257;15.2;100
86;86;['01003'];Kreisfreie Stadt Lübeck;Kreisfreie Stadt;Lübeck;10.7275953;53.87249351;0.314;20.4;76
87;87;['01054'];Kreis Nordfriesland;Kreis;Nordfriesland;8.896145444;54.61549104;0.348;23.7;55
88;88;['03155'];Landkreis Northeim;Landkreis;Northeim;9.848034897;51.7426367;0.29;18.1;100
89;89;['03405'];Kreisfreie Stadt Wilhelmshaven;Kreisfreie Stadt;Wilhelmshaven;8.087572147;53.56684117;0.342;23.0;67
90;90;['05113'];Kreisfreie Stadt Essen;Kreisfreie Stadt;Essen;7.01711447;51.43386124;0.322;21.1;36
91;91;['05515'];Kreisfreie Stadt Münster;Kreisfreie Stadt;Münster;7.623636929;51.95431601;0.322;21.1;35
92;92;['05562'];Kreis Recklinghausen;Kreis;Recklinghausen;7.159242142;51.67246122;0.324;21.3;39
93;93;['06438'];Landkreis Offenbach;Landkreis;Offenbach;8.811342496;50.02168164;0.275;16.8;68
94;94;['07211'];Kreisfreie Stadt Trier;Kreisfreie Stadt;Trier;6.655007419;49.762702;0.3;19.1;77
95;95;['07231'];Landkreis Bernkastel-Wittlich;Landkreis;Bernkastel-Wittlich;6.967271106;49.92466419;0.299;18.9;83
96;96;['07319'];Kreisfreie Stadt Worms;Kreisfreie Stadt;Worms;8.324519419;49.64941808;0.275;16.8;99
97;97;['08125'];Landkreis Heilbronn;Landkreis;Heilbronn;9.190817811;49.17713444;0.255;15.1;100
98;98;['09161'];Kreisfreie Stadt Ingolstadt;Kreisfreie Stadt;Ingolstadt;11.39483786;48.75516441;0.217;11.9;100
99;99;['09474'];Landkreis Forchheim;Landkreis;Forchheim;11.17312827;49.72099284;0.237;13.5;100
100;100;['09572'];Landkreis Erlangen-Höchstadt;Landkreis;Erlangen-Höchstadt;10.91486259;49.64004641;0.239;13.7;60
101;101;['15087'];Landkreis Mansfeld-Südharz;Landkreis;Mansfeld-Südharz;11.35638688;51.53567091;0.266;16.0;100
102;102;['05770'];Kreis Minden-Lübbecke;Kreis;Minden-Lübbecke;8.739321342;52.35248224;0.314;20.4;93
103;103;['05915'];Kreisfreie Stadt Hamm;Kreisfreie Stadt;Hamm;7.823567424;51.6652174;0.315;20.4;98
104;104;['06436'];Landkreis Main-Taunus-Kreis;Landkreis;Landkreis Main-Taunus-Kreis;8.434568023;50.10257206;0.281;17.4;99
105;105;['07314'];Kreisfreie Stadt Ludwigshafen am Rhein;Kreisfreie Stadt;Ludwigshafen am Rhein;8.396775234;49.48209112;0.272;16.5;60
106;106;['08116'];Landkreis Esslingen;Landkreis;Esslingen;9.369077539;48.64802962;0.244;14.1;90
107;107;['09174'];Landkreis Dachau;Landkreis;Dachau;11.35711292;48.33454395;0.21;11.3;100
108;108;['09672'];Landkreis Bad Kissingen;Landkreis;Bad Kissingen;9.964698555;50.22252192;0.262;15.7;100
109;109;['16051'];Kreisfreie Stadt Erfurt;Kreisfreie Stadt;Erfurt;11.02022116;50.98325065;0.261;15.6;90
110;110;['01001'];Kreisfreie Stadt Flensburg;Kreisfreie Stadt;Flensburg;9.438435468;54.78495923;0.345;23.3;41
111;111;['01051'];Kreis Dithmarschen;Kreis;Dithmarschen;9.10750623;54.13382154;0.338;22.7;38
112;112;['03252'];Landkreis Hameln-Pyrmont;Landkreis;Hameln-Pyrmont;9.389888245;52.09508969;0.301;19.2;98
113;113;['03351'];Landkreis Celle;Landkreis;Celle;10.10353701;52.71331552;0.303;19.3;90
114;114;['03353'];Landkreis Harburg;Landkreis;Harburg;9.96279702;53.31577307;0.314;20.4;99
115;115;['05111'];Kreisfreie Stadt Düsseldorf;Kreisfreie Stadt;Düsseldorf;6.810052101;51.23545379;0.322;21.1;17
116;116;['05358'];Kreis Düren;Kreis;Düren;6.445544048;50.8179426;0.32;20.9;39
117;117;['05974'];Kreis Soest;Kreis;Soest;8.21744151;51.56443844;0.308;19.8;89
118;118;['06411'];Kreisfreie Stadt Darmstadt;Kreisfreie Stadt;Darmstadt;8.664898551;49.88161782;0.275;16.7;68
119;119;['06413'];Kreisfreie Stadt Offenbach am Main;Kreisfreie Stadt;Offenbach am Main;8.780826021;50.0911351;0.276;16.9;68
120;120;['06636'];Landkreis Werra-Meißner-Kreis;Landkreis;Landkreis Werra-Meißner-Kreis;9.928937911;51.19075736;0.279;17.2;100
121;121;['07137'];Landkreis Mayen-Koblenz;Landkreis;Mayen-Koblenz;7.332244137;50.33162502;0.3;19.1;88
122;122;['07332'];Landkreis Bad Dürkheim;Landkreis;Bad Dürkheim;8.110301172;49.45301376;0.275;16.8;100
123;123;['09181'];Landkreis Landsberg am Lech;Landkreis;Landsberg am Lech;10.94873399;48.02445356;0.21;11.3;100
124;124;['09779'];Landkreis Donau-Ries;Landkreis;Donau-Ries;10.71234451;48.80693604;0.227;12.7;100
125;125;['12064'];Landkreis Märkisch-Oderland;Landkreis;Märkisch-Oderland;14.14646426;52.60670264;0.249;14.5;88
126;126;['12070'];Landkreis Prignitz;Landkreis;Prignitz;11.96188835;53.10933853;0.286;17.7;96
127;127;['15084'];Landkreis Burgenlandkreis;Landkreis;Landkreis Burgenlandkreis;11.88344355;51.14723005;0.253;14.8;100
128;128;['15090'];Landkreis Stendal;Landkreis;Stendal;11.83951441;52.69679446;0.28;17.2;99
129;129;['16071'];Landkreis Weimarer Land;Landkreis;Weimarer Land;11.37351933;50.97157884;0.256;15.1;100
130;130;['03251'];Landkreis Diepholz;Landkreis;Diepholz;8.701812031;52.7284505;0.321;21.0;88
131;131;['03402'];Kreisfreie Stadt Emden;Kreisfreie Stadt;Emden;7.180595174;53.36105919;0.35;23.8;55
132;132;['05513'];Kreisfreie Stadt Gelsenkirchen;Kreisfreie Stadt;Gelsenkirchen;7.071166183;51.55393159;0.323;21.2;45
133;133;['05570'];Kreis Warendorf;Kreis;Warendorf;7.958310348;51.87022745;0.317;20.6;94
134;134;['08421'];Stadtkreis Ulm;Stadtkreis;Ulm;9.95002201;48.39090057;0.231;13.0;100
135;135;['09189'];Landkreis Traunstein;Landkreis;Traunstein;12.57954086;47.89454343;0.184;9.3;100
136;136;['09362'];Kreisfreie Stadt Regensburg;Kreisfreie Stadt;Regensburg;12.11369684;49.01300772;0.211;11.4;100
